,VIC,Non predicted cases,Date
0,8.0,8,11/06
1,4.0,4,12/06
2,8.0,8,13/06
3,9.0,9,14/06
4,12.0,12,15/06
5,9.0,9,16/06
6,21.0,21,17/06
7,18.0,18,18/06
8,13.0,13,19/06
9,25.0,25,20/06
10,19.0,19,21/06
11,16.0,16,22/06
12,17.0,17,23/06
13,20.0,20,24/06
14,33.0,33,25/06
15,30.0,30,26/06
16,41.0,41,27/06
17,49.0,49,28/06
18,75.0,75,29/06
19,64.0,64,30/06
20,73.0,73,01/07
21,77.0,77,02/07
22,66.0,66,03/07
23,108.0,108,04/07
24,74.0,74,05/07
25,127.0,127,06/07
26,191.0,191,07/07
27,134.0,134,08/07
28,165.0,165,09/07
29,288.0,288,10/07
30,216.0,216,11/07
31,273.0,273,12/07
32,177.0,177,13/07
33,270.0,270,14/07
34,238.0,238,15/07
35,317.0,317,16/07
36,428.0,428,17/07
37,217.0,217,18/07
38,363.0,363,19/07
39,275.0,275,20/07
40,374.0,374,21/07
41,484.0,484,22/07
42,403.0,403,23/07
43,300.0,300,24/07
44,357.0,357,25/07
45,459.0,459,26/07
46,532.0,532,27/07
47,384.0,384,28/07
48,295.0,295,29/07
49,723.0,723,30/07
50,627.0,627,31/07
51,397.0,397,01/08
52,671.0,671,02/08
53,563.9829614057417,429,03/08
54,581.074597129086,439,04/08
55,768.0304902947832,725,05/08
56,554.3079110298327,471,06/08
57,677.5968984145626,450,07/08
58,792.6596302176597,466,08/08
59,719.8094114005302,394,09/08
60,846.2157069898566,322,10/08
61,725.801666723744,331,11/08
62,736.2788451303611,410,12/08
63,996.5599776699119,278,13/08
64,738.2534431965391,372,14/08
65,782.9861865771762,303,15/08
66,1025.281607544467,279,16/08
67,763.2570431962438,282,17/08
68,928.3029242393312,222,18/08
69,1067.9547236923272,216,19/08
70,803.7950411076031,240,20/08
71,1001.2067020191073,179,21/08
72,1074.59903567348,182,22/08
73,911.0322084060863,208,23/08
74,1068.1038948356918,116,24/08
75,1003.8527455636931,148,25/08
76,1027.377293947173,149,26/08
77,1156.9946927010672,113,27/08
78,977.1633668496863,113,28/08
79,1142.3027958418627,94,29/08
80,1195.961842508277,114,30/08
81,986.3505940147127,73,31/08
82,1261.1332206075977,70,01/09
83,1215.6348123384053,90,02/09
84,1007.1553315285677,113,03/09
85,1335.1275456242302,81,04/09
86,1233.0333663401082,76,05/09
87,1096.757979902179,63,06/09
88,1366.4468405815076,41,07/09
89,1233.353565304812,55,08/09
90,1229.9425989746915,76,09/09
91,1377.9413757414668,51,10/09
92,1242.8412073028558,43,11/09
93,1362.7161533709868,37,12/09
94,1359.5850328062947,41,13/09
